srno,sequence,eventId,name,description,state,year,start_date,season_type,end_date,academic_year,academicYrId,revaluation_for_exam Season,previous_exam_season,exam_form_filling_stage,exam_from_applicable_subject_type,type,applyForSeason,applyForType,exam_form_fee_type,redressal_form_fee_type,redressal_stage,code,created_at,deleted_at,updated_at,created_by,updated_by,deleted_by
1,1,1,Winter Semester Examinations 2017,Winter Semester Examinations 2017,Completed,2017,9/25/2017,Odd Semester Exam Season,10/2/2017,2017 - 2018,1,Winter Semester Examinations 2017 / Completed / Odd Semester Exam Season / 2017-09-25,,Completed,Fresh subjets only,Reg,NULL,NULL,-,,Completed,,NULL,NULL,NULL,NULL,NULL,NULL
2,2,1,Revaluation - Winter Semester Examinations 2017,Revaluation Winter Semester Examinations 2017,Completed,2017,3/1/2018,Revaluation Exam Season,4/15/2018,2017 - 2018,1,Winter Semester Examinations 2017 / Completed / Odd Semester Exam Season / 2017-09-25,,Completed,Any backlog subjects only,Rev,NULL,NULL,Paid,,Photocopy,,NULL,NULL,NULL,NULL,NULL,NULL
3,3,1,Remedial Winter - 2017-18,Remedial Winter 2017-18,Completed,2017,3/9/2018,Remedial Exam Season,4/9/2018,2017 - 2018,1,,Winter Semester Examinations 2017 / Completed / Odd Semester Exam Season / 2017-09-25,Completed,Odd program backlog only,Rem,NULL,NULL,Paid,,Completed,,NULL,NULL,NULL,NULL,NULL,NULL
4,8,1,Supplementary/Backlog Summer Semester Examinations 2018,Supplementary Summer Semester Examinations 2018,Completed,2017,4/25/2018,Backlog Exam Season,5/24/2018,2017 - 2018,1,,,Completed,Odd program backlog only,Sup,NULL,NULL,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
5,6,7,Summer Semester Examinations 2018,Summer Semester Examinations 2018,Completed,2017,4/26/2018,Even Semester Exam Season,5/5/2018,2017 - 2018,1,,,Completed,Fresh subjets only,Reg,NULL,NULL,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
6,19,7,Remedial August  2018,Remedial August  2018,Completed,2017,7/24/2018,Remedial Exam Season,8/4/2018,2018 - 2019,1,,Summer Semester Examinations 2018 / Completed / Even Semester Exam Season / 2018-04-26,Completed,Even program backlog only,Rem,NULL,NULL,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
7,9,7,Revaluation - Supplementary/Backlog Summer Semester Examinations 2018,Revaluation Supplementary Backlog Summer Semester Examinations 2018,Completed,2017,9/10/2018,Revaluation Exam Season,10/12/2018,2017 - 2018,1,Supplementary/Backlog Summer Semester Examinations 2018 / Completed / Backlog Exam Season / 2018-04-25,,Completed,Any backlog subjects only,Rev,NULL,NULL,Paid,,Revaluation,,NULL,NULL,NULL,NULL,NULL,NULL
8,7,7,Revaluation - Summer Semester Examinations 2018,Revaluation - Summer Semester Examinations 2018,Completed,2017,9/12/2018,Revaluation Exam Season,10/12/2018,2017 - 2018,1,Summer Semester Examinations 2018 / Completed / Even Semester Exam Season / 2018-04-26,,Completed,Any backlog subjects only,Rev,NULL,NULL,Paid,,Revaluation,,NULL,NULL,NULL,NULL,NULL,NULL
9,22,1,Supplementary Winter Semester Exam 2018(MArch),Supplementary Winter Semester Exam 2018(MArch),Completed,2018,10/16/2018,Makeup Exam Season,10/16/2018,2018 - 2019,2,,,Completed,Any backlog subjects only,Sup,NULL,NULL,Paid,,Completed,,NULL,NULL,NULL,NULL,NULL,NULL
10,5,1,Supplementary Winter Semester Exam 2018(Diploma),Supplementary Winter Semester Exam 2018,Completed,2018,10/24/2018,Backlog Exam Season,11/12/2018,2017 - 2018,1,,,Completed,Odd program backlog only,Sup,NULL,NULL,Paid,,-,,NULL,NULL,NULL,NULL,NULL,NULL
